"bill_city","mon_data_city","mon_sms_city","mon_voice_city","serv_tick_m1to6_city","serv_tick_m7to8_city","data_roam_city","long_d_min_city","long_d_spend_city","tot_pay_city"
"Medicine Hat",5.33724436631558,346.43909671237,215.555796563495,0.381269322754815,0.394049281747592,2.93287649354897,39.2709690774791,1.60271794524529,65.5639721836625
"Bow Island",5.38569982071141,892.041949441507,188.102323052371,0.24640959110111,0.260076853157532,2.09501313744113,39.2471926938742,1.88708182122885,61.8238233967415
"Redcliff",4.73338735392351,514.99688730967,191.51561503189,0.385633142944425,0.394970636162216,2.44436125096399,39.4057206762955,1.87422487650402,62.4586845279914
"Milk River",3.97384101568279,194.6382277071,188.971025225466,0.619675655430183,0.624765352504328,2.29386974102817,36.1764819966629,1.31865258126362,60.2955052003678
"Raymond",5.38081448165261,865.725266453847,183.649563014405,0.260451534111053,0.27546109724248,2.75927632453386,37.4373103864491,1.69935936159012,63.111915039607
"Lethbridge",5.48328144098797,600.183769244687,174.743968147075,0.336494114296511,0.349632169492123,2.52953264303505,39.1870115802158,1.47180131689741,61.162998528854
"Coalhurst",5.01478496594767,852.096093687429,243.746440648528,0.656130901817232,0.660383047428375,3.3058342585573,35.9342513384763,1.25766247931951,62.9069488320076
"Picture Butte",5.65237790693294,392.484819695414,179.482887452071,0.874822342116386,0.877968857334927,2.8697347776033,38.6671867291443,0.929081239284544,62.1177871924496
"Coaldale",5.25787701361893,546.301152958179,206.501491555164,0.762068240018561,0.763540362259373,3.21307960979175,39.984112578677,1.63623733569654,63.0170753138819
"Taber",5.23288151846374,174.295497731098,196.554427985067,0.313558610202745,0.320061365365982,2.93272474757396,35.4084255150519,2.42583326324457,64.6017848735434
"Vauxhall",5.06730660657408,634.582107499608,169.860687697887,0.589249384636059,0.59319725997746,2.55164211324882,38.2743833912537,1.75294920642112,62.2822382159572
"Brooks",5.27646350678666,286.061836316598,204.02243540957,1.02972553814761,1.03111912558321,2.68038510158658,37.7108796813991,1.18243559159456,62.6134744497048
"Bassano",3.93889680153969,320.112026934271,227.754065245173,0.310490895342082,0.31255610241089,1.40712002897635,38.4254135831725,1.93366318480651,61.7927965452881
"Magrath",4.98331881740254,747.820875072919,209.730526620287,0.339470981201157,0.340062285894528,2.11914006748702,39.6047056966927,2.42545395861063,62.246500389997
"Cardston",5.03842801457597,261.75703118865,226.704833325675,0.569415989844128,0.571670484747738,2.35188481328078,38.7936146534048,1.82662762388224,61.2815114940784
"Pincher Creek",4.44349048565895,215.199010919555,227.056762673169,0.522267135838047,0.563537098530442,2.36496079585049,38.3277658326551,1.81764897269954,61.0963814707023
"Fort Macleod",4.53321304709867,608.622386384751,175.348164750559,0.700755748245865,0.709354195380163,1.76660330872983,38.3864977734629,1.79844750356862,63.9094537996179
"Granum",3.53086027292495,290.783303536756,211.650602421958,0.427804133901373,0.439921673054104,1.40074255573563,36.5093186392915,1.35896534905005,61.7127658256191
"Claresholm",4.77512856520291,647.889562768127,163.616629995962,0.329318221239373,0.356575586058802,2.66352703457233,38.7901365954895,1.21746922819661,62.4662600388469
"Stavely",4.21382931055973,871.44058732647,221.353629751341,0.396889514336362,0.412157901161441,2.30014988302719,38.4835491934791,2.68371664826131,61.0970976453492
"Nanton",6.34885658330534,815.461402190174,235.683013095804,0.595639958791435,0.603428038404834,2.80415384285152,37.5972866779193,1.83470835814358,64.3968938662583
"Hanna",4.40113514243583,528.555579352947,219.517357114386,0.668912878539413,0.671156559283845,2.40872568031773,35.7739618385676,1.7892179254239,62.6482947435743
"Oyen",3.89144657934601,430.868895753132,207.806962603185,0.878304572822526,0.878655207737824,1.00676340353675,36.0309313458856,1.97149443758447,63.2662832728863
"Vulcan",3.87711973623592,598.065632119998,207.232721904662,0.411576665751636,0.425596687811518,2.14247520593926,36.632653339766,1.87038045756965,63.2298220010143
"Strathmore",5.79414698021302,677.062128050544,227.65362787979,0.755004208348691,0.763909586760437,2.88810136693064,37.6636084611528,2.54792627453692,64.8926233833063
"Drumheller",4.87160084654814,608.686702961527,200.985606068144,1.0013903265819,1.02303952379026,1.42301340634003,37.9788267170079,2.12414306205602,63.1455967653825
"Three Hills",5.33484811482014,601.375462063669,220.750934680353,0.522363700950518,0.544200896870947,2.61772215878591,38.1433390802704,1.20637171443085,63.241536822718
"Trochu",5.09448352185051,387.3650352512,222.161138514502,0.370387197984383,0.375530340461992,2.05819824466016,36.6656772152055,1.4972115683039,63.262185107573
"High River",5.57837535907477,434.989480690574,239.654507243206,0.453814275376499,0.455530939861959,2.68798062705901,38.9736714435276,2.12742863709757,65.9324676710977
"Turner Valley",5.33173030030161,264.536609196622,213.692618968542,0.275992924394086,0.280922403950244,2.51441654749215,38.4095452656038,1.85477443418574,62.911646344528
"Black Diamond",4.31177461780855,696.964238205651,220.649225826515,0.605162196606398,0.606084987707436,2.93667000916321,35.5968904297333,1.69919769048554,63.6312336452956
"Okotoks",5.80595053019735,486.662715284376,255.820736105096,0.396216810727492,0.413318045089177,3.03340297855902,36.9218932278454,1.19877722433517,60.8177882956696
"Calgary",5.7876845498737,772.673197611942,246.789932622846,0.535161338793114,0.539700112286873,3.34670798608568,36.8556301598437,1.44468543372933,65.0736755253488
"Chestermere",5.93788971187062,584.125712841617,258.892093540727,0.54939313842915,0.550120545011014,2.74002080049831,38.7071791396011,1.46859713168761,65.747692246449
"Cochrane",5.40511435506023,177.187907407118,251.37585509355,0.643410919746384,0.643506838267515,3.04990492027719,37.7087218628731,1.48091679173583,65.4874145771545
